Year,Gtm,Month,Home,Opp,Win,pitchIP,pitchH,pitchR,pitchER,pitchUER,pitchBB,pitchSO,pitchHR,pitchHBP,pitchERA,pitchBF,pitchPit,pitchStr,pitchIR,pitchIS,pitchSB,pitchCS,pitchAB,pitch1B,pitch2B,pitch3B,pitchIBB,pitchSH,pitchSF,pitchROE,pitchGDP,numPitchers,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,Thr,OppStarter,OppGameScore,RD
2022,78,Jul,0,CIN,1,9,6,1,1,0,0,5,0,2,3.78,35,122,82,0,0,0,0,33,6,0,0,0,0,0,1,1,3,42,37,9,12,6,4,0,2,9,3,0,6,2,0,0,0,2,0,0,0.248,0.313,0.441,0.755,6,L,M.Minor(55),55,8
2022,79,Jul,0,CIN,1,9,1,1,1,0,4,16,0,2,3.75,34,150,92,0,0,0,0,28,1,0,0,0,0,0,0,0,4,40,32,4,7,4,2,0,1,4,7,0,6,1,0,0,0,1,1,1,0.247,0.314,0.441,0.755,9,R,T.Mahle(50),50,3
2022,80,Jul,0,CIN,0,8,7,4,4,0,2,11,0,1,3.75,33,137,93,0,0,1,0,30,6,1,0,0,0,0,0,0,3,37,36,3,9,5,1,0,3,3,1,0,8,0,0,0,0,0,2,0,0.248,0.314,0.442,0.755,7,R,L.Castillo(66),66,-1
2022,81,Jul,1,STL,1,9,9,3,2,1,3,8,2,1,3.73,41,163,113,0,0,0,0,36,6,1,0,0,0,1,0,0,5,34,30,6,10,8,2,0,0,6,3,0,6,1,0,0,0,2,1,0,0.248,0.315,0.441,0.756,4,R,D.Hudson(19),19,3
2022,82,Jul,1,STL,1,9,9,1,1,0,3,6,0,1,3.7,40,157,96,0,0,0,0,36,9,0,0,0,0,0,0,0,4,38,37,7,12,7,3,0,2,7,1,0,10,0,0,0,0,0,3,0,0.249,0.315,0.443,0.758,7,R,A.Pallante(18),18,6
2022,83,Jul,1,STL,1,9,7,0,0,0,3,8,0,1,3.65,36,129,85,0,0,0,0,32,5,2,0,0,0,0,0,2,4,30,29,3,5,1,2,0,2,3,1,0,4,0,0,0,0,0,0,0,0.249,0.314,0.443,0.757,3,R,M.Mikolas(53),53,3
2022,84,Jul,1,STL,0,11,8,3,1,2,4,19,0,0,3.61,45,179,124,2,0,1,0,39,6,2,0,1,0,2,0,0,6,45,39,2,8,5,2,0,1,2,6,0,12,0,0,0,0,1,2,0,0.248,0.314,0.442,0.756,12,L,M.Liberatore(57),57,-1
2022,85,Jul,1,WSN,1,9,5,2,2,0,3,7,1,0,3.59,33,135,91,0,0,0,0,30,3,1,0,0,0,0,0,1,3,42,38,12,15,8,3,0,4,12,4,0,5,0,0,0,0,1,1,0,0.25,0.316,0.446,0.762,6,R,E.Fedde(9),9,10
2022,86,Jul,1,WSN,1,9,12,3,3,0,2,8,2,0,3.59,39,124,92,1,1,0,0,37,8,2,0,0,0,0,0,2,3,32,30,4,9,8,0,0,1,3,2,0,6,0,0,0,0,2,0,1,0.251,0.316,0.446,0.762,4,L,P.Corbin(42),42,1
2022,87,Jul,1,WSN,1,12,5,3,3,0,6,9,1,0,3.57,45,180,111,4,2,1,0,38,4,0,0,1,1,0,0,2,6,49,43,4,12,10,1,0,1,4,5,1,10,0,0,1,0,0,1,0,0.251,0.316,0.445,0.761,15,R,P.Espino(45),45,1
